"","site.id","dataset.id","site.name","lon","lat","depth","sample.number","Ash","Beech","Birch","Chestnut","Elm","Hemlock","Hickory","Maple","Oak","Other conifer","Other hardwood","Pine","Poplar","Spruce","Tamarack"
"1","234",237,"Basin Pond",-70.05,44.47,175,17,9,27,116,0,4,42,0,10,27,0,12,50,1,31,0
"2","249",254,"Belmont Bog",-77.916667,42.25,40,6,8,22,37,5,4,100,7,11,36,0,22,67,3,0,0
"3","268",274,"Big Pond",-78.55,39.766667,20,4,1,3,2,11,0,2,4,3,186,1,22,46,0,0,0
"4","302",308,"Boundary Pond",-70.675,45.566667,43,6,4,16,168,0,6,2,1,6,11,8,12,25,0,34,1
"5","331",338,"Carbuncle Pond",-71.783333,41.7,46,11,6,16,23,4,3,10,7,4,159,0,20,36,0,1,0
"6","333",340,"Caribou Bog",-68.77344,44.93672,57,2,2,27,111,0,0,107,0,3,7,2,5,50,0,8,0
"7","482",494,"Clear Pond",-74.016955,43.748575,250,7,8,84,122,2,7,44,3,17,22,0,12,83,1,28,0
"8","491",503,"Conroy Lake",-67.883333,46.283333,220,25,2,35,157,2,1,57,0,12,7,4,11,83,0,52,2
"9","657",673,"Deer Lake Bog",-71.833333,44.033333,60,4,3,47,100,3,4,35,0,6,17,24,9,34,0,39,0
"10","701",721,"Donut Pond Bog",-70.058333,41.275,96,15,5,10,51,0,5,23,2,4,186,0,22,65.5,0,9,0
"11","753",772,"Duck Pond",-70.0005,41.9327,55,8,4,36,27,1,4,11,9,1,73,1,7,162,0,1,0
"12","775",795,"Ely Lake",-75.833333,41.766667,180,6,7,41,64,7,4,109,9,10,48,0,17,50,0,1,0
"13","844",873,"Giles",-75.093185,41.37709,47,17,5,27,41,10,3,45,8,7,85,0,15,112,0,3,0
"14","941",971,"Gould Pond",-69.316667,44.983333,840,11,7,40,72,1,3,116,0,5,10,2,6,14,0,7,1
"15","942",972,"Gould's Bog",-72.183333,42.533333,40,7,16,35,231,4,2,154,14,5,227,1,31,70,0,5,0
"16","953",983,"Green Pond",-74.49534,41.005055,62,15,8,10,36,33,4,12,18,5,147,0,16,14,2,0,0
"17","998",1031,"Helmetta Bog",-74.433333,40.383333,70,5,0,0,1,1,3,7,2,4,183,0,19,54,0,0,0
"18","1080",1113,"Houghton Bog",-78.670278,42.541667,73,8,24,96,71,3,28,121,12,55,75,0,32,56,0,0,0
"19","1481",1518,"Kinsman Pond",-71.733333,44.133333,30,7,7,57,150,0,4,28,1,6,16,8,28,22,0,25,1
"20","1530",1568,"Lacawac",-75.29131,41.382145,53,26,8,41,59,6,2,99,4,9,52,0,12,33,0,2.5,0
"21","1610",1661,"Longswamp",-75.666667,40.483333,20,5,3,10,11,57,0,5,11,4,181,0,5,11,2,0,0
"22","1611",1663,"Loon Pond",-68.2,45.033333,1000,5,2,38,113,0,3,35,0,1,9,0,17,50,0,19,0
"23","1615",1667,"Lost P.",-71.251389,44.246944,100,6,5,27,195,0,1,17,0,7,17,5,22,33.5,1,28.5,0
"24","1643",1698,"Mansell Pond",-68.733333,45.041667,752,21,13,117,415,0,4,182,0,30,52,4.5,37,197,15,86.5,6
"25","1656",1712,"Mashapaug Pond",-71.433333,41.783333,117,30,8,12,25,1,0,12,14,3,165,0,24,16,0,2,0
"26","1716",1773,"Moulton Pond",-68.639167,44.6275,60,4,15,77,157,0,5,113,0,11,45,0,35,124,3,28,0
"27","1759",1817,"North Pond",-73.053365,42.65171,20,3,9,86,95,11,6,57,4,10,51,0,16,24,0,0,0
"28","1789",1848,"Panther Run Pond",-77.416667,40.8,30,3,1,2,35,9,3,6,9,5,122,0,24,45,0,0,0
"29","1797",1859,"Pasacaco Pond",-71.45,41.516667,131,36,2,4,26,1,1,6,14,5,155,0,55,22,0,0,0
"30","1896",1961,"Poland Spring Pond",-70.35,44.033333,395.5,6,5,39,82,1,2,29,1,8,85,0,20,32,3,5,0
"31","1914",1980,"Protection Bog",-78.466667,42.622222,72.5,11,13,162,61,4,22,150,10,47,60,0,34,23,0,0,3
"32","2194",2270,"Rogers Lake",-72.29915,41.3525,122.6,12,12,49,73,21,7,46,55,21,443,0,147,55,6,3,0
"33","2308",2391,"Sinkhole Pond",-70.35,43.966667,1249.5,6,7,43,103,0,1,71,2,13,13,0,7,73,8,25,0
"34","2507",2591,"Spring Lake",-76.35,41.673889,120,4,3,20,40,1,1,81,6,6,42,0,12,145,0,3,0
"35","2508",2593,"Spruce Pond",-74.1833,41.23687,75,13,10,19,39,13,3,15,17,7,184,0,21,15,0,1,0
"36","2527",2617,"Sutherland Pond",-74.037778,41.391389,70,7,0,11,43,8,5,30,34,0,177,0,19,26,0,0,1
"37","2531",2621,"Swartswood Lake",-74.83698,41.072335,72,14,4,9,29,14,4,23,18,7,170,0,29,32,0,0,0
"38","2533",2623,"Szabo Pond",-74.483333,40.4,120,5,1,4,7,0,4,0,17,1,210,0,10,9,0,1,0
"39","2536",2626,"Tannersville Bog",-75.263845,41.038875,136,7,0,12,25,5,5,26,11,2,153,0,10,32,6,1,0
"40","2539",2629,"Taupawshas Bog",-70.058333,41.275,70,8,0,42,22,0,1,0,2,2,116,0,18,17,0,0,0
"41","2554",2645,"Titicut Swamp",-71.033333,41.95,124,8,7,31,60,1,3,13,8,9,206,0,22,69,0,3,0
"42","2791",2886,"Unknown Pond",-70.633335,45.60459,50,4,4,22,272,0,2,14,0,15,8,20,9,62,2,11,0
"43","2795",2892,"Upper South Branch Pond",-68.893285,46.090115,20,11,5,23,126,0,2,23,0,9,3,10,8,74,1,56,2
"44","2805",2902,"Valhalla Hollow",-74.370833,44.308611,18,12,1,45,128,0,9,31,1,4,15,3,9,58,0,31,0
"45","2862",2959,"Winneconnet Pond",-71.116667,41.966667,40,7,5,7,17,0,2,5,4,7,62,1,88,10,3,1,0
"46","728",3130,"Heart Lake",-73.96963,44.18236,30,3,12,42,262,0,9,53,2,5,41,29,18,106,0,135,2
"47","558",3493,"Mohawk Pond",-73.292685,41.81115,50,2,20,33,72,66,13,27,20,11,174,0,27,43,0,2,0
"48","3529",4557,"Aino Pond",-71.926667,42.679722,71,36,11,92,125,6,1,122,9,11,69,3,10,63,0,19,0
"49","3530",4558,"Dead Frog Pond",-72.508611,42.574444,31,16,6,47,80,24,4,44,15,23,115,0,9,175,0,1,0
"50","6510",10972,"Hemlock Hollow",-72.178,42.5375,16,17,2,38,83,12,0,169,2,19,82,0,5,63,0,6,0
"51","9708",14370,"Linsley Pond",-72.784335,41.317115,120,29,2,8,23,19,5,6,16,4,120,0,31,11,0,1,0
"52","9866",14624,"Big Reed Pond Hollow",-69.0517,46.35065,14,5,12,14,161,0,0,4,0,4,2,20,9,57,0,54.5,0
"53","9889",14674,"Blackwoods Hollow",-68.22364,44.313195,18,4,0,8,666,0,1,27,0,11,2,7.5,43,29.5,0,70,0
"54","9894",14684,"Schoodic Peninsula Hollow",-68.0726,44.37328,21,8,0,2,74,0,0,4,0,0,1,5,4,16,2,34.5,0
"55","9944",14797,"South Bog",-67.20294,44.717555,25,25,2,13,200,0,0,56,0,2,3,12.5,24,55.5,0,37.5,0
"56","10020",14997,"Round Pond",-70.010335,41.97078,30,16,2,11,33,1,1,28,6,1,84,0,11,323,1,4,0
"57","10021",14999,"Deep Pond",-69.992095,41.739125,84,22,6,19,43,5,3,11,17,9,280,0,22,57,0,1.5,0
"58","10023",15003,"Icehouse Pond",-69.960575,41.797995,152,20,4,16,40,1,3,16,30,17,203,0,35,105,0,5,0
"59","10025",15007,"Eagle Pond",-70.13606,41.6982,36,10,1,7,66,2,5,5,4,3,147,0,8,233,0,1,0
"60","10026",15009,"Jemima Pond",-69.9847,41.82961,112,15,5,21,25,1,3,16,23,6,285,1,39,50,1,2,0
"61","10028",15020,"Sandy Hill Pond",-70.36407,41.689985,64,9,8,14,33,2,10,22,31,6,308,0,8,121.5,0,4,0
"62","10029",15022,"Fresh Pond",-70.532835,41.59412,32,17,5,14,41,0,4,33,7,11,154,2,18,276,0,7,0
"63","10155",15292,"Byron-Bergen Swamp (Site 2)",-78.002715,43.09816,20,3,4,20,15,0,15,49,5,12,38,0,11,124,1,2,5
"64","10157",15296,"Byron-Bergen Swamp (Site 1)",-78.014515,43.09791,40,4,0,15,20,0,62,8,1,44,4,0,25,64,0,1,5
"65","10172",15325,"Black Gum Swamp",-72.1829,42.5375,17,8,8,39,153,36,3,21,2,12,88,0,29,91,6,19,0
"66","10362",15764,"Lily Pond",-72.34693,42.417875,50,21,6,61,70,56,4,33,15,14,190,0,20,67,1,7.5,0
"67","10389",15820,"Prospect Hill II",-72.18,42.5625,21,15,1,16,26,17,0,11,0,0,20,0,1,7,0,1,0
"68","10400",15857,"Slab City",-72.1775,42.508,19,19,20,32,108,72,2,107,2,9,84,0,5,67.5,0,0,0
"69","2536",15866,"Tannersville Bog",-75.263845,41.038875,240,24,55,6,23,3,0,17,8,1,45,0,3,12,0,21,0
"70","10422",15904,"Divers Lake",-78.399245,43.04099,81,11,32,37,40,8,35,27,19,15,140,0,49,71,3,1,0
"71","10424",15909,"Ballston Lake",-73.85325,42.94975,235,7,9,140,30,0,6,100,31,14,69,4,17,81,3,2,4
"72","10435",15935,"Little Mirror Lake",-71.60848,42.524435,53,27,0,30,77,13,5,58,6,11,170,1,18,110,1,16,0
"73","10438",15944,"Silver Lake",-72.22854,42.600775,47,24,6,39,113,20,3,40,3,16,85,0,12,114,0,3,0
"74","10515",16175,"Binnewater Pond",-74.551335,41.40935,60,6,4,16,37,5,7,30,23,5,174,1,78,18,0,0,0
"75","11805",17880,"Lost Swamp",-72.4211,42.82814,29,13,5,85,185,8,1,35,3,30,24,0,30,52.5,0,1.5,0
"76","13583",20515,"Lake Grinnell",-74.63963,41.098185,16,3,1,5,17,0,3,26,33,4,140,0,3,27,0,0,5
"77","13629",20618,"Quag Pond",-71.95695,42.56725,46,23,5,105,146,7,2,105,3,11,62,0,6,42,0,14,1
"78","13633",20627,"Snake Pond",-72.016405,42.55585,43,22,0,108,100,7,5,129,3,16,71,0,8,41,1,22,0
"79","10188",15352,"Heart's Content Bog",-73.975,42.2405,70,8,16,3,12,2,2,41,20,7,103,0,50,49,10,0,2
"80","10287",15598,"Allenberg Bog",-78.878,42.252,37.5,9,13,92,92,4,22,143,13,45,96,0,30,37,1,13,7
"81","2212",2289,"Rose Lake",-77.925,41.916667,78,2,3,78,115,13,2,86,5,37,27,0,4,35,0,2,0
"82","510",523,"Crider's Pond",-77.55,39.966667,25,3,1,2,1,16,0,2,8,4,141,0,8,58,0,0,0
"83",NA,0,"Barnes",-75.226,43.56444,0,0,1,45,55,1,8,59,3,6,11,0,6,8.5,0,11.5,0
"84",NA,0,"Big Moose Lake",-74.85,43.81,0,0,7,24,85,0,5,23,0,10,11,1,9,36,0,28,0
"85",NA,0,"Bloomingdale Bog Upper",-74.13833,44.38361,0,0,0,11,45,0,0,19,0,6,7,0,1,106,0,17,0
"86",NA,0,"Blood Pond",-71.962,42.08,0,0,11,31,84,12,2,47,16,8,196,0,26,114,2,4,0
"87",NA,0,"Deep Lake",-74.664,43.61,0,0,4,21,112,0,8,18,0,1,21,1.5,5,31.5,0,25.5,0
"88",NA,0,"Knob Hill",-72.3737,44.3605,0,0,10,75,179,1,8,62,1,15,19,1,13,54,1,34,0
"89",NA,0,"Larkum",-73.06,42.165,0,0,14,40,116,5,6,78,5,3,129,0,41,56,5,1,2
"90",NA,0,"Little Willey Pond",-71.1778,43.2918,0,0,2,48,76,2,0,81,3,13,23,0,8,31,0,9,0
"91",NA,0,"Little Royalston",-72.192,42.675,0,0,9,53,109,17,8,80,2,15,100,0,10,89,3,16,0
"92",NA,0,"North Round Pond",-72.452,42.848,0,0,16,61,142,73,1,63,3,21,92,0,12,60,0,5,0
"93",NA,0,"Pecker",-71.965,42.713,0,0,17,73,153,40,2,71,3,16,73,0,19,58,0,10,0
"94",NA,0,"Pickerel",-72.484,42.17,0,0,11,18,64,3,8,30,20,6,162,0,18,172,1,5,0
"95",NA,0,"Uncas",-71.377278,42.062667,0,0,10,21,59,5,4,30,20,9,249,1,37,47,1,4,0
"96",NA,0,"Walden",-71.338,42.43907,0,0,10,21,78,4,4,28,17,6,176,0,24,125,0,12,0
"97",NA,0,"Wickett",-72.432,42.551,0,0,13,45,112,67,1,75,4,12,93,0,12,80,0,2,0
"98",NA,0,"benson",-73.1,42.38,0,0,14,75,129,4,10,97,14,21,63,0,22,16.5,0,2,0
"99",NA,0,"berry-andover",-71.0873,42.621,0,0,5,19,69,3,5,44,15,5,270,0,29,51.5,0,1,0
"100",NA,0,"black",-70.79,41.3281,0,0,6,20,27,2,3,11,27,7,110,0,12,15,0,0,0
"101",NA,0,"blaneys",-70.7652,41.4717,0,0,1,29,26,0,2,10,12,7,84,0,23,70,0,4,0
"102",NA,0,"deep-falmouth",-70.6358,41.5641,0,0,6,19,43,5,3,11,17,9,280,0,22,57,0,1.5,0
"103",NA,0,"deep-taunton",-71.0115,41.88,0,0,2,10,29,1,1,11,11,4,144,0,9,78,0,5,0
"104",NA,0,"doe",-72.702,42.175,0,0,20,30,80,4,4,39,21,9,201,0,11,83,1,4,0
"105",NA,0,"guilder",-73.4372,42.1094,0,0,20,26,35,2,2,61,18,5,88,0,19,26,0,0,0
"106",NA,0,"sears",-72.5783,40.8845,0,0,0,4,36,0,3,11,18,2,140,0,11,74,0,2,0
"107",NA,0,"umpawaug",-73.4497,41.3061,0,0,6,6,25,8,3,15,25,3,129,0,33,28,0,0,0
"108",NA,0,"uncleseths",-70.6647,41.4331,0,0,0,8,32,0,3,12,22,3,124,0,11,41,3,4,0
"109",NA,0,"ware",-70.8825,42.4825,0,0,1,14,35,0,5,24,31,5,162,0,22,46,0,7,0
"110",NA,0,"westside",-73.2566,41.8556,0,0,2,21,45,10,4,32,17,4,92,0,30,28,5,0,0
