,lon.site,lat.site,Sample #,Certainty (0â€“3  scale, 3 = high)
Barnes,-75.226,43.56444,4,1,
Benson,-73.1,42.38,6,3,
Big Moose Lake,-74.85,43.81,15,2,
Bloomingdale Bog lower,-74.13833,44.38361,NA,NA,
Bloomingdale Bog Upper,-74.13833,44.38361,18,2,
Blood Pond,-71.962,42.08,25,2,
Deep Lake,-74.664,43.61,24,2,
Doe,-72.702,42.175,18,2,
Knob Hill,-72.3737,44.3605,23,2,
Lake Arnold,-73.94404,44.13093,3,1,
Lake Tear of the Clouds,-73.93574,44.10804,5,1,
Larkum,-73.06,42.165,13,2,
Little Willey Pond,-71.1778,43.2918,6,2,
Little Royalston,-72.192,42.675,15,2,
North Round Pond,-72.452,42.848,21,2,
Pecker,-71.965,42.713,27,2,
Pickerel,-72.484,42.17,25,2,
Queer Lake,-74.8,43.81,11,2,
Uncas,-71.377278,42.062667,20,2,
Upper Wallface Pond,,,13,1,
Walden,-71.338,42.43907,17,2,
Wickett,-72.432,42.551,20,2,
Windfall Pond,-74.449035,44.364271,18,2,
