Depth (cm),Cal age,Pinus indeterminable,Pinus undiff,Pinus banksiana t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Thuja/Juniperus,Quercus,Carya,Castanea,Juglans cinera,J. nigra t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Clethra,Moraceae,Tilia,Salix,Populus,Ledum/Chamydaphnea, Ericaceae undiff,VItis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Ilex,Platanus,Cephalanathus,Viburnum,Rhamnus,Rhus,Myrtaceae t.,Cornus sanquinaria t.,Combretaceae T.,Anacardiaceae,Ceanothus t.,Sambucus,Poaceae,Artemisia,Ambrosia,Rumex,Tubuliflorae,Plantago,Secale,Zea,Cheno Am,Solanaceae,Urticaceae,Iva ciliata t.,Rosaceae ,Thalictrum,Fabaceae,Brassicaceae,Ranunculaceae,Hydrocotyle t.,Apiaceae,Hypericum t.,Polygonum aviculare. t.,Lamiaceae,Liliaceae,Saxifraga oppositifolia t.,Impatiens,Lycopodium inundatum T.,Caryophyllaceae,Boraginaceae,Triticum t.,Sisyrhincium t.,Petalostemum purpereum t.,Cyperaceae,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Sagittaria,Sparganium t.,Eriocaulon,Pontederia,Utricularia,Cabomba,Cupressaceae stomata,Pinus stomata,Non conifer stomata,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
228,2331.873,23,,,,1,4,15,,,,,3,,2,86,11,1,,,48,24,5,2,,4,,,,5,4,,1,5,,1,,,,,,,,,63,2,,1,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,1,,2,,,,1,,,,,,,,2,2,1,1,,,325,,,,,1,2,3,,,1,,,,,,,,,,3,1,,,4,1,86,42716
240,2490.3,27,,,6,,1,5,,,,1,,1,5,96,8,,1,,51,20,5,6,,1,,2,,1,2,1,1,1,1,2,,1,,,,,,,87,1,3,,1,,,,,1,,,,,,1,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,4,2,,,350,,,,,,1,4,,,,,,,,,,,,,2,,3,,16,3,70,42716
252,2648.727,19,,1,1,,,8,,,1,,,,2,68,7,,3,,44,27,5,9,2,,,,,2,3,1,1,5,,,,1,,,,3,,,75,1,,,3,,,,,1,,,,,,1,1,1,,,,,,,,1,,,,,,,1,2,,,,,1,,,,,,,,1,1,2,4,,,309,,,,,,1,1,,,,,,,,,1,,,,,,3,,9,,67,42716
264,2807.153,18,,1,1,2,4,11,,,,,,,8,94,8,,1,,69,16,7,5,1,3,1,5,,3,3,,,1,,1,,1,,,,,,,59,10,1,,,,,,,,,,,,,1,,1,,,,,,1,,,,1,,,,,,3,,,,,,,,,,,,,1,2,,2,,,346,,,,,,,4,,,,,,3,,,,,,,2,,7,2,27,2,66,42716
276,2965.58,16,,,,1,1,13,,,,,,,4,137,6,,,,54,25,5,5,3,1,,3,,4,3,,,1,,2,,,,,,1,,,30,2,1,1,2,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,2,3,1,,,334,,,,,,,1,1,,,,,,,,,,,,,,4,,6,,63,42716
288,3124.007,21,,,9,2,3,11,,,,,,1,,132,33,1,1,,54,20,8,2,1,,2,5,2,2,2,2,,3,,3,,1,,,,1,1,,42,2,2,,,,1,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,,,389,,,,,,1,7,,,,,,,,,,,,,,1,3,,12,,84,42716
300,3282.433,22,,,1,,4,4,,,,,,,4,113,14,,1,,42,29,10,3,1,1,1,3,1,1,1,,1,6,,7, ,,,,,,,,34,  ,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,1,4,,,,,,,,,,,,,1,3,4,1,,,322,,,,1,,1,2,,,,,,,,,,,,,3,,,,6,1,81,42716
312,3385.67,21,1,,,1,1,9,,,,,,1,3,106,14,,,,68,33,3,3,1,2,,6,,4,2,1,,7,1,1,,,,,,2,,,29,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,1,,1,4,1,,336,,,,1,,,3,,,,,,1,,,,,,,1,,1,,12,2,99,42716
324,3488.538,17,1,2,2,2,6,12,,,,,,1,3,112,9,1,,,48,35,3,3,1,,,7,1,1,2,,3,8, ,5, ,,1,,,1,,,25,2,, ,1,,,,,,,,,,,1,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,,328,,,1,,,,4,3,,,,1,,,,,,,,6,,3,1,7,,74,42716
336,3591.405,35,,2,,4,1,10,,,,,,,,101,23,,,,84,30,15,4,2,2,,6,,4,1,,1,8,,4,1,1,1,,,4,,,76,3,2,,1,,,,,,,,,,,1,1,1,2,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,2,3,1,,440,,,,1,,2,11,1,,,,,,,,1,,,,16,,1,1,18,3,136,42716
348,3694.272,25,,1,3,1,2,1,,,,1,1,1,3,92,8,2,,,70,18,5,,3,1,,3,,9,1,1,,9,,9,,,,,,3,,,30,1,,,,,,,,,,,,,,2,2,,,1,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,2,3,,,317,,,,,,1,1,,,,,,,,,1,,,,4,2,,,4,2,61,42716
360,3797.14,16,2,,3,1,6,10,,,1,,,,,102,8,1,,,51,14,3,4,1,2,1,3,,9,4,,3,5,,13,,,,,,6,,,32,1,,,,,,,,,,,,,,2,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,5,2,,,314,,,1,,,3,5,2,,,,,,,,,,,,5,2,1,1,5,1,88,42716
372,3900.007,15,,,,2,6,6,,,,,1,,4,81,7,,,,78,24,2,1,,3,1,9,,10,1,,1,11,2,9,,,,,,1,,,43,1,2,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,3,4,,,331,,,,,,,1,1,,,,,1,,,,,,1,6,,3,1,9,3,52,42716
384,4002.874,29,,,2,1,4,2,,1,,1,,,2,92,11,1,1,,65,23,4,2,,3,,4,,7,1,,2,2,1,2,,,,,,,,,52,,2,1,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,323,,,,,,,,1,,,,,,,,,,,,2,1,,,8,,61,42716
397,4114.314,27,,2,2,8,7,9,,,,,,,2,117,6,2,1,,92,35,10,3,,,1,3,,6,6,,,2,,11,,,,,,1,,,54,2,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,,1,,,416,,,1,,,1,2,2,,1,1,,1,,,1,,,1,1,,,1,11,1,64,42716
408,4208.609,21,,1,1,1,7,4,,2,,,,,1,74,4,1,2,,75,15,19,5,1,,,3,,4,2,,,4,,2,,,,,,1,,1,46,1,2,1,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,,1,,,,,,,,,,,,,,1,6,1,,,315,,,,,,,3,6,,1,,,1,,1,,,,,2,3,2,,7,,51,42716
420,4311.476,24,2,1,1,1,8,1,,,,,,1,2,99,11,,,,66,22,6,1,,2,,7,,5,3,,1,1,1,2,,,,,,,,,25,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,301,,,2,,,,3,,,3,,,2,,,,,,,,,1,,8,,47,42716
432,4414.343,18,,,1,2,6,1,,,,,,1,5,163,17,1,1,,68,31,5,5,,1,,6,2,2,2,,,1,4,3,,,,,,2,1,,32,,,,1,1,,,,,,,,,,1,,1,,3,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,1,,,,394,,,,,,,12,3,1,,,1,1,,,1,,,,5,,3,,6,1,77,42716
444,4517.211,20,1,2,3,4,5,6,,,,,,,1,123,13,,1,,40,16,7,,,2,1,8,,2,5,,,1,1,9,,,,,,3,,,35,1,,1,1,,,,,,,,,,,3,2,3,,3,,,,2,,1,1,,1,,,,,1,,,,,,,,,,,,,,1,5,2,,,337,,,2,1,1,,10,3,,,,,1,,,,,,,3,2,,,14,1,58,42716
456,4620.078,27,,,1,1,3,5,,1,,1,,,2,118,8,,1,,63,25,9,1,1,,,8,,2,1,,,2,,7,,,,,,1,,,28,4,1,,3,,,,,,,1,,,,5,1,1,1,3,,,,,,1,,,,1,,,,,,,,,2,,,,,,,,4,2,5,5,,,356,,,6,,,,7,4,,,1,,1,,,,,,,3,1,2,,4,,60,42716
468,4722.945,18,,,,,,2,,,,,,2,4,139,7, ,1,,36,28,4,3,1,1,,7,1,1,2,,1,3,2,3,,,,,,,,,27,,,,2,,,,,,,,,,,3,1,3,,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,1,,2,,,309,,,1,,,1,5,6,,,,,,,,,,,,,,11,1,3,,31,42716
480,4825.813,31,,4,6,,3,8,,,,,,1,4,167,7,,,,65,28,6,5,2,3,,4,,1,2,,1,5,1,1,,,,,,1,1,,30,,1,,2,,,,,,1,,,,,2,,1,,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,3,3,1,3,,,408,,1,,,,,6,6,,,,,,1,,,,,,10,1,2,,8,3,74,42716
492,4928.68,20,,,,,,4,,,,,,1,4,150,4,,,,72,23,3,3,2,1,1,16,,2,1,,,3,,2,,,,,,,,,18,2,1,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,341,,,,,,1,3,5,     ,,,,,,,,,,,,,13,1,10,,56,42716
504,5147.902,13,1,3,5,2,2,9,,,,,,1,5,135,10,,2,,53,32,6,6,,3,,10,,,3,1,5,5,,5,,2,,,,,,,17,1,,,3,,,,,,,,,,,2,,2,1,3,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,2,2,2,2,1,,360,,,1,1,,,3,,2,1,1,,1,,,,,,1,3,,2,,7,1,58,42716
516,5496.477,13,,5,1,1,,16,,,,,,1,1,129,16,,1,,44,26,2,6,,,,27,2,2,2,,1,,,3,,2,,,,,1,,11,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,1,1,1,,,323,,,,,,,8,2,,,1,,1,,,,,,,5,,2,1,11,2,50,42716
522,5613.337,18,,2,2,1,1,18,,,,,,,1,150,4,,,,30,17,2,6,,,1,26,,4,,,,5,1,2,,1,,,,,,,8,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,3,2,1,,,311,,,2,,,,3,1,,,,,1,,,1,,,,,,,,9,1,32,42716
528,5730.197,21,,1,4,1,1,14,,,,,,,,179,9,,,,39,19,2,3,,3,1,32,,4,2,1,2,4,,4,,,,,,,,,13,1,,,3,2,,,,,,,,,,,,2,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,2,4,,,377,,,,,,,1,,3,,,,1,,,1,,,,3,,6,,4,1,0,42716
534,5847.057,14,,1,1,,1,15,,,,,,,3,173,6,,1,,21,21,5,5,,3,,26,,1,,,,6,,3,,,,,,,,,5,1,,1,1,2,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,2,,1,325,,,2,,,,4,2,1,,2,,1,,,,,,,4,,4,1,8,2,33,42716
540,5963.917,12,,,3,3,3,18,,,,,,,,188,1,,,,37,19,3,9,,,1,14,,5,3,,2,5,,5,,,,,,,,,7,,1,,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,3,,,350,,,,,,1,1,1,,,,,,,,,,,,,,6,,8,1,35,42716
546,6080.777,24,,,,1,1,16,,1,,,,,4,192,18,,1,,35,19,2,7,3,,,26,,3,5,,,3,,4,,1,,,,,,,18,,,1,2,,,,,,,,,,,4,3,1,1,1,,,,,,,,,,5,,,,,,,,,,,,,,,,,2,,6,2,,,412,,,1,,1,,8,,,,,1,1,,,1,,,,1,,3,2,7,3,30,42716
552,6253.317,19,,,1,2,1,17,,,,1,,,6,151,8,,1,,18,13,4,7,3,1,,24,,1,4,,2,1,2,3,,,,,,,,,11,,,1,1,1,,,,,,,,,,,,3,,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,1,,2,2,,,316,,,1,,,,3,1,,,,,,1,,1,,,,2,1,5,3,5,,31,42716
558,6513.572,17,,4,,,3,14,,1,,,,,3,194,,,,,19,17,2,2,,,1,25,,2,,,1,3,,1,,,,,,,,,5,2,,,2,,,,,,,,,,,2,1,,,3,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,1,,5,,,333,,,,,,,5,,,,,,,,,,,,,2,,5,,2,2,13,42716
564,6773.827,51,,6,1,1,14,15,,,,,,,1,191,1,,,,4,16,2,8,,1,,31,,,3,,,,1,,,,,,,,,,22,3,,,1,1,,,,,,,,,,4,2,4,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,4,6,3,3,,,402,,,1,,,,2,1,,,,,,,,,,,,13,,1,2,11,,27,42716
570,7034.082,27,,3,6,1,2,23,,1,,,,,2,155,,1,,,18,15,4,,2,,,30,,3,4,,,3,1,,,1,,,,4,,,3,,1,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,,,321,,,,,,,,,,,,,,,,,,,,,,,1,5,,11,42716
576,7294.338,30,,3,4,2,2,11,,2,,,,,,236,1,,,,0,12,2,4,1,2,,24,,3,3,1,,3,2,1,,,1,,,,,,11,,,,3,,,,,,,,,,,2,,2,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,2,,3,,,375,,,1,1,,,3,,,,,,,,,,,,,,,,,18,1,31,42716
582,7554.593,38,,1,1,1,2,13,,,,,,,3,182,3,,1,,16,21,2,6,1,1,1,27,,5,2,,2,1,1,,,,,,,1,,,13,1,1,,2,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,1,5,,,369,,,4,,,,1,3,,,,2,,,,,,,,5,,4,1,8,1,23,42716
588,7814.848,19,1,,4,,1,6,,2,,,,2,2,180,1,,,,20,18,1,2,1,4,,12,,1,1,,1,4,1,,,,,,,,,,22,,,,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,312,,,,,,,2,,,,,,,,,,,,,7,,,,5,,25,42716
594,8075.103,65,,6,8,2,5,24,,,,1,,,1,186,1,,2,,2,13,2,5,,1,1,19,,1,3,,,4,,1,,,2,,,1,,,6,4,,,1,,,,,,,,,,,1,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,8,,,391,,,1,,,,2,,,,,,1,,,,,,,3,,2,,5,1,32,42716
600,8335.358,43,,5,9,1,3,6,,,,,,,,196,1,1,1,,5,15,4,6,2,2,,22,,2,2,1,2,3,,,,1,,,,,,,22,3,,,3,,,,,,,,,,,2,,2,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,3,1,2,,,374,,,,,,,,1,,,,,,,,5,,,,2,,,,3,,18,42716
612,8814.66,92,2,5,2,3,2,5,1,2,2,1,,1,,134,1,,,,4,10,,1,2,1,,10,2,1,,,,,,,,,,,,,,,37,2,1,,,,,,,,,,,,,2,,10,,1,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,1,,4,5,,,350,,,,,1,,,,,,,,,,,,,,,,,5,,4,1,16,42716
624,9027.757,136,,10,3,7,7,12,,2,,,1,2,,158,1,,,,1,17,3,2,,1,,14,,2,2,,1,,,,,,,,,,,,39,7,2,3,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,5,,,450,,,,,1,,1,1,,,,,,,,,,,,4,,1,,5,1,12,42716
636,9240.855,95,2,11,,,9,11,,,,3,,3,1,101,1,,,,1,14,2,2,3,,,6,,1,,,2,1,1,,,,,,2,2,,,35,3,,5,2,,,,,,,,,,,1,,4,,,,,,1,,,1,,,1,,,,,,,,,,,,,,,,,4,5,7,6,,,349,,,,,,1,,,,,,,,,,,,,,2,,8,,7,,10,42716
648,9462.62,119,,9,2,1,3,20,,,,1,,1,,109,1,,,,,17,9,6,1,,,4,,,,,,1,,,,1,,,,,,,25,2,,3,2,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,2,7,,,354,,,,1,,1,2,1,1,,,,,,,,,,,1,,1,,,,17,42716
672,9925.723,140,1,14,2,2,3,51,,1,3,,2,,2,76,,,,,,13,4,2,,,,5,,1,1,,,,2,,,,,,,1,1,,25,,,7,,,,,,,,,,,,2,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,1,2,1,,,370,,,,,,,5,1,,,,,,,,,,,,1,1,,,2,1,21,42716
