Depth (cm),Cal age,Pinus indet,Pinus undiff,Pinus banksiana t.,P. resinosa t.,P. rigida t.,Pinus diplox,P. haplox,Tsuga,Picea glauca,P. mariana,P. rubens t.,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Thuja/Juniperus,Taxus t.,Quercus,Carya,Castanea,Juglans cinera,J. nigra,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus rugosa/incana t.,A. crispa/viridis,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Nyssa,Liquidambar,Tilia,Magnolia sp.,Ilex,Clethra,Salix,Populus,Ericaceae,Vitis,Parthenocissus t.,Myrica,Corylus,Corylaceae,Cephalanthus,Platanus,Celtis,Rhamnus,Viburnum,Sambucus,Rhus sp..,Moraceae/Urtica,Poaceae,Artemisia,Ambrosia,Iva sp.,Rumex,Tubuliflorae,Liguliflorae,Secale,Zea mays,Triticum t.,Urtica,Plantago,Cheno Am,Iva ciliata t.,Potentilla t.,Rosaceae undiff,Thalictrum,Fabaceae,Ranunculus sp.,Geranium sp.,Impatiens,Liliaceae,Polygonum persicaria t.,P. aviculare t.,Apiaceae,Fagopyron,Paronychia t.,Cruciferae,Caryophyllaceae,Galium,Cyperaceae,Onagraceae,Oenotheraceae,Hernaria t. ,cf Hypericum,cf. Viola sagittata,Allium t.,Cornus racemosa t.,Ceanothus,Rubus Chamaemorus,Pteridium t.,Dryopteris t.,Osmunda spp.,Gymnocarpium t.,Asplenium t,Athyrium t.,Botrychium sp.,Trilete unk,Lycopodium lucidulum,"Lycopodium sp.,",Upland sum,Isoetes,Equisetum,Sphagnum,Myriophyllum,Nymphaea,Nuphar,Pontederia ,Potamogeton,Brasenia,Sagittaria,Sparganium t.,Typha,Lemna  t.,Pinus stomta,Larix,Cupress stom t.,Tsuga stomata,Unknown conifer stomata,Non conifer ,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,PreQuaternary,Exotic count,Exotic spike
450,3333.522,11,,,1,,,4,14,1,1,,1,,1,,,1,,97,29,16,2,,30,30,2,6,,1,5,41,,,7,,,,,,,1,,1,,6,,,,1,,1,,,,,,,,1,,,,,2,,,,,,,,,,,2,,,,,,,,,,,,,,15,,,,,,,,,,2,11,2,,,,,1,,,347,,,,,,1,,,,,,,,,,,,,2,2,4,5,1,19,2,,126,42716
470,3460.389,15,,1,,,7,4,24,,1,,,,1,2,,3,,79,33,15,5,,56,62,5,1,3,3,,17,,5,4,1,1,,,,1,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,11,,,,,,,,,,,5,2,,,,,,,,372,,,,,,,,,,,,,,,,,,1,,1,1,2,,5,1,,75,42716
480,3525.974,23,,,2,,1,9,3,,1,,,,,,,3,,140,36,1,7,,63,44,5,6,2,1,4,40,,1,3,,2,,1,1,,,,1,,,,,,1,,,1,,,,,,,3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,2,17,3,,,,,,,,439,,,,,1,1,,,1,,,1,,,,,,,1,4,2,4,3,24,,,90,42716
490,3595.176,8,,,1,,,,5,,,,,,,,,4,,125,36,,2,,39,32,6,4,3,8,,28,,1,1,1,,2,,1,1,,,,,,,,,,,1,1,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,1,14,3,,,,,,,,346,,,,,1,,,,,,,,,,,,,,,6,,,1,7,2,,57,42716
500,3691.936,18,,1,1,3,,1,8,,,,,,,1,,3,,128,49,2,4,,49,30,5,4,,3,,16,,2,4,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,2,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,8,5,,,,,,,,363,,,1,,,,,,,,,,,,,,,,,4,1,2,,24,,,66,42716
510,3795.719,19,,,,,1,4,9,,,,,,,,,1,,198,44,3,6,,22,20,5,11,3,3,,36,,2,4,,,,,2,,,,,,,,,,,,,3,,,1,,,,2,,,,,5,,,,,,,,1,,1,,,,,,,,,,,,,,,16,,,,,,,,,,3,15,5,,,,,,,,445,,,,,1,1,,,,,,,,,,,,,,2,1,3,,9,1,,63,42716
520,3899.004,8,,2,,,,7,9,,,,,,,1,,,,174,4,,1,,31,7,3,4,,,2,12,,1,1,,,,,,,,,,,,,,,3,,,2,,1,,,,,1,,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,14,,,,,,,,,,4,16,2,,,,,,,,313,,,4,,1,1,,1,,,1,,,,,,,,,2,3,2,1,10,1,,57,42716
530,4001.791,17,,,,,5,2,,,,,,,,,,3,,211,45,1,1,,15,18,5,3,4,4,,16,,3,7,,1,,,,,,,,1,,,,,,,,1,,1,1,,,,,1,,1,1,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,15,7,,,,,,,,395,,,,,,1,,,,,,1,,,,,,,,,3,2,1,2,,,47,42716
540,4093.327,15,1,1,,3,,1,4,,1,,,1,,1,,,,170,19,,3,,20,14,4,6,1,3,1,16,,1,7,,,,,,1,,,,,1,1,,1,2,1,,2,,,,,1,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,11,,,,,,,1,,,,14,8,,,,,,,,341,,,,,,,,,,,,1,1,,,,,,,8,1,5,1,14,2,,65,42716
550,4178.164,18,,,,,3,4,6,,,,,,,,,4,,163,22,,2,,14,14,6,9,1,2,,37,,1,6,,,1,,,,,,,,6,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,14,3,,,,,,,,354,,,,,,2,,,1,,,,,,,,,,,7,2,,1,39,1,1,64,42716
560,4263.483,20,,1,,,2,1,4,,,,,,,,,4,,232,33,1,2,,17,19,7,6,4,4,,16,,2,5,1,1,1,,,,,,,,,,,,2,,,2,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,1,8,4,,,,,,,,423,1,,,,2,1,1,,,,,3,1,,,2,,,,5,1,,,7,2,,56,42716
570,4349.093,14,,,,,,3,3,,,,,,,,,3,,164,59,1,0,,15,10,5,5,4,7,3,21,,1,3,,2,,,,,,,,,1,,,,1,,,3,,,,,,1,1,,,,,5,,,,,,,,,,,1,,,,,,,,,,,,,1,17,,,,,,,,,,2,7,4,,,,,1,,,368,,,,,,1,,,2,,1,,2,,,,,,,4,,,,5,,,58,42716
580,4432.296,11,,,1,,2,1,4,,,,,,,1,,2,,179,35,,1,,14,12,8,5,2,3,,25,1,1,4,,2,,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,3,8,4,,,,,,,,350,,,,,,1,,1,,,,,,,,,,,,4,2,3,,5,2,,55,42716
600,4600.241,13,,,,3,,2,,,,,,,,,1,2,,220,45,1,,,17,16,4,5,5,6,,37,,2,2,,1,,,1,,,,1,,,,,1,,,,2,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,4,5,3,,,,3,,,,414,,,,,,,,,,,,2,,,,,,,,2,1,1,,16,4,,69,42716
620,4769.564,11,,2,2,,1,4,2,,,,,,,,,4,,192,20,2,1,,26,13,5,4,2,7,,7,1,3,3,,,,,,,,,1,,,,,,2,,,3,,,,,1,,3,,2,,,2,,,,,,,1,,,,1,,,,,,,,,,1,,,,17,,1,1,,,,,,,5,10,4,,,,,2,,,369,,,,,2,,,,,,,,,,,,,,,3,1,2,1,18,1,,90,42716
650,5020.26,7,,1,,2,3,3,2,,,,,,,,,3,,196,29,,4,,9,16,2,4,8,3,,20,,1,,,1,,,,,,,,,,1,,,,,,5,,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,4,5,3,,,,,,1,,348,,,,,1,,,1,,,,1,,,,,,,,3,,1,,,2,,47,42716
680,5268.387,10,,1,,,,,2,,,,,,,,,1,,182,47,2,10,,17,17,3,4,1,2,,11,,3,1,2,,,,,,5,,,,,,,1,,,,3,,,,,,,4,,,,,2,,,,,,,1,,,,1,,1,,,,,,,,,,,,10,,,,,,,,,,4,5,2,,,,,,,,355,,,1,,2,,1,,1,,,,,,,,,,,5,1,,,9,,,55,42716
700,5438.441,9,,,,,3,2,9,,,,,,,,,1,,177,33,,1,,16,23,1,11,3,5,,34,,,5,,,1,,1,,1,,,,,1,1,,1,,1,7,,,,,,,2,1,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,9,12,4,,,,,,,,396,,,,,,,,,,,1,,,,,,,,,2,,2,,20,3,,83,42716
720,5632.811,12,,3,1,,2,,30,,,,,,,,,4,,138,41,,,,23,9,4,3,2,1,1,25,,3,4,,,,1,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,8,8,1,,,,,,,,344,,,1,,3,,,,,,,,,,,,,,,3,,2,1,2,1,,43,42716
730,5739.18,6,,1,,2,,,20,,,,,,1,,,2,,165,24,,,,12,20,3,6,3,4,1,23,,2,6,2,2,3,,,,,,,,,,,1,2,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,4,8,5,,,,,,,,346,,,,,2,,,,,,,,,,,,,,,2,1,,,15,2,,87,42716
750,5911.452,11,,1,1,,,4,33,,,,,,,,,1,,170,36,1,2,,20,20,4,7,2,1,,23,,,2,,,,,1,,1,,1,,,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,1,,,,,,,,,13,,,,,,,,,,5,7,2,,,,,,,,377,,,2,,2,,,,3,,1,,,,,,,,,4,2,1,,19,1,,170,42716
760,5994.23,7,,,,2,1,3,34,,,,,,,,,2,,158,28,,2,,28,27,4,12,4,,,10,,1,1,,2,,1,1,,,,1,,,,,,,,,3,,,,,,,3,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,21,,,,,,,,,,1,3,2,,,,,,,1,365,,,,,3,,,,,,,2,,,,,,,,7,1,1,2,14,1,,76,42716
780,6156.69,12,,1,1,,1,4,17,,,,,,,,,2,,201,29,1,5,,19,16,2,9,1,1,1,16,1,,6,,,,,2,,1,1,,,,,,,1,,,9,,,,,1,,2,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,12,,,,,,,,,,3,5,2,,,,1,,,,388,,,,,2,,,,,,5,,,,,,,,2,4,2,1,2,13,,,56,42716
800,6319.975,10,,,,1,,,19,,,,,,,,,3,,189,31,,,,23,11,5,7,6,2,,16,,1,1,,,,,,,1,,,,,,,,,,,6,,,,,,,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,2,8,3,,,,,,,,354,,,,,3,,,,1,,,1,,,,,,,,3,,1,,7,1,,73,42716
810,6405.755,8,,,,,1,1,29,,,,,,,1,,,,157,30,1,7,,12,10,7,8,3,1,,11,,2,5,,1,1,,2,,,,,,,,,,,,1,6,,,,,,,3,,,,1,2,,,,,,,,,,,1,,,,,,,,,,,,,,10,,,,,,,,,,1,2,5,,,,,,,,330,,,1,,1,,,,,,,,1,,,,,,,,,3,,9,3,1,49,42716
840,6645.532,14,,1,,,2,2,20,,1,,,,,,,,,180,24,,4,,30,10,4,8,3,5,,9,1,3,3,,,,,1,,,,1,,1,,,,,,,4,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,6,5,1,,,,,,,,355,1,,,,,,,,,,,,,,,,,,,4,,1,1,8,1,,54,42716
850,6727.419,6,,3,,,3,,24,,,,,,,,,1,,189,32,2,1,,24,15,4,10,2,6,,19,,,3,1,1,,1,,,,,,,,,,1,1,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,1,,3,1,1,,,,,,,,370,,,,,3,1,,1,,,,1,,,,2,,,,14,,,,8,,,47,42716
880,6974.54,7,,,,,2,,14,,,,,,,,,,,172,24,,2,,37,8,3,8,1,1,,15,1,2,1,,,,,1,,,,,,,,,2,,,1,6,,,,,,,3,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,1,,,,,3,2,,,,,,,,,325,,,,,,,,,,,,,,,,,,,,1,,,1,5,,,42,42716
900,7161.454,9,,,1,,,2,21,1,,,,,,,,,,195,19,,4,,31,8,1,11,7,3,,10,,,1,,,,1,,,1,,,,,1,,,,,1,2,,,,,,,4,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,,,,,,3,6,3,,,,,,,,354,,,,,,,,,,,1,,,,1,,,,,1,1,1,,13,,,52,42716
920,7278.17,10,,2,1,,2,5,26,,,,,,,,,,,190,24,,4,,38,16,5,5,2,1,,23,,1,4,,,1,,2,,,,,,,,,1,1,,,4,,,,,,,1,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,8,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,2,,3,1,10,1,1,100,42716
940,7381.524,9,,,,,3,3,29,,,,,,1,,,3,,194,24,,1,,35,16,8,9,3,2,,11,,1,3,,1,,2,1,,,,,,,,,1,,,1,8,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,4,14,1,,,,,,,,397,,,1,,1,,,,1,,,,,,,,,,,3,2,1,,4,1,,63,42716
960,7571.139,19,,,,1,3,1,23,,,,,,,,,1,,206,11,,1,,34,13,7,10,3,2,,16,,,4,,,1,,1,1,,,,,,,,,2,,1,3,,,,,,,2,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,13,,,,,,,,,387,1,1,,,1,,,1,,,,1,,,,,,,,,,2,2,11,2,,63,42716
980,7770.19,11,,,,,1,7,24,,1,,2,,,1,,,,232,8,,2,,26,6,10,12,3,2,3,21,,1,2,,,,,,,1,,,,,,,1,,,1,8,,,,,,,1,,2,,,4,,,,,,,,,,1,,,,,,,,1,,,,,,,3,,,,,,,,,,4,7,2,,,,,,,1,412,2,,,,2,,1,,,,,,,,,,,,1,1,2,2,,17,3,,54,42716
1000,7957.35,20,,,,2,,1,39,,,,1,,,,,3,,199,5,,1,,30,10,8,9,2,2,,24,,,3,,1,,1,1,,,,,,,,,1,4,1,2,,,,,,,,1,,1,,,3,,,,,,,1,,,,,,,,,,,,,,,,,,8,,,,,,,,,,3,12,2,,,,1,,,,402,,,,,1,,,1,1,,,,,,,,,,,5,,2,,13,1,,70,42716
1020,8146.7,10,,3,,,2,4,20,,,,,,,,,,,182,7,,1,,17,10,7,11,4,1,,13,1,,5,,2,,,,,,,,,,,,1,4,,2,5,,,,,,,3,,4,,1,3,,,,,,,,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,7,4,2,,,,,,,,341,,,,,,,,1,,,,,,,,,,,,,,,,3,,,53,42716
1030,8243.758,15,,2,,,1,,24,,,,,,,,,1,,204,5,2,1,,21,19,5,9,2,1,,20,,3,5,2,2,1,,,,1,,,,2,,,1,,1,,4,,,,,,,1,,7,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,7,1,,,,,1,1,,376,,,,,1,,,,,1,,1,,,,,,,,1,3,1,,5,1,,61,42716
1050,8431.347,18,,2,,,1,4,24,,,,,,,,,1,,238,8,,,,30,9,7,4,2,2,,24,2,2,2,,3,,,1,,,,1,,,,,,,,1,8,2,,1,,,,1,,3,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,3,1,,,,,,,,,2,13,1,,,,,,,,425,,,,,4,,,,,,,,,,,,,1,,3,,,3,5,,,53,42716
1060,8523.58,25,,,,3,,4,30,,,,,,,,,,,211,12,,3,,25,12,5,8,4,2,,20,,3,1,1,,1,,,,,,1,,,,,,1,,,9,,,,,,,1,,1,,,3,,,,,,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,11,4,,,,,,,,408,,,,,4,,,,,,,,1,,,,,,,3,,1,1,11,,,62,42716
1070,8616.502,25,,,,,,6,19,,,,,1,,,,,,236,2,,1,,32,11,7,7,3,2,,31,,1,,2,,,,1,,,,,,,,,,4,,,9,,,1,,,,4,,4,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,14,,,,,,,,,1,5,9,1,,,,,,,,441,,2,,,1,,,,,,,,1,,,,,,,12,1,3,4,31,,,41,42716
1080,8706.1,15,,1,,,5,5,21,,2,,,,,,,,,227,5,1,2,,24,15,7,7,,5,,9,,1,1,,3,2,,3,,,,,,,,,,1,,,7,1,,,,,,2,,4,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,6,,,,,,,,,,3,10,2,,,,,,,,400,,,,,,,,,,,,2,,,,,,,,3,,1,1,4,1,,52,42716
1100,8892.135,20,,,1,,1,8,37,,,,,2,,,,2,,209,4,,,,9,15,5,3,2,2,2,8,,1,3,,,,1,2,,,,1,,,,,,4,,,6,,,,,,,,,4,,,1,,,,,,,1,,,,2,,,,2,,,,,,,,,,3,,,,,,,,,,6,6,1,,,,,,,,374,,,,,,,,,,,,1,,,,,,,,2,2,1,,7,1,,69,42716
1110,8990.033,16,,5,,1,3,2,16,,,,,,,,,1,,241,5,,3,,9,12,9,9,2,6,1,11,,,2,3,,,,,,,,1,,,,,,4,1,2,5,,,,,,,1,,6,,,2,,,,,,,1,,,,1,,,,,,,,,,,,,,4,,,,,,,,1,,5,9,2,,,,,1,,,403,,,,,4,,,1,,,,,,,,,,,,5,3,,1,15,1,,49,42716
1130,9178.796,29,,,,1,2,16,18,,,,,1,,,,,,199,4,,,,9,11,7,3,5,3,,8,,,2,1,,,,1,,,,,,,,,,,,,6,,,,,,1,,,8,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,5,5,,,,,,1,,,349,,,,,1,,,3,,,,,,,,,,,,3,1,1,,9,1,,36,42716
1140,9273.931,25,,3,,,3,9,20,,,,,,,,,4,,247,,,,,7,10,8,3,4,1,,15,,,3,,2,,1,2,2,,,2,,,,,1,1,,,3,,,,,,,3,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,3,9,2,,,,,,,,401,,,,,,,,,,,,,,,,,,,,4,,3,,10,2,,43,42716
1150,9376.626,24,,2,,,2,14,31,,1,,1,,3,,,2,,197,,,1,,6,11,5,2,5,,,7,,2,2,,,,,1,,,,,,,,,,,,,,,,1,,,,6,,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,2,3,,,,,1,,,,344,,,,,,,,,,,,,,,,,,,6,1,,1,1,10,1,,55,42716
