Depth (cm),Cal age,,Pinus indeterminable,Pinus banksiana t.,Pinus diplox,P.resinosa/rig,P. haplox,Tsuga,Picea glauca,P. mariana,P. undiff,P. indet.,Abies,Vesciculate conif,Larix,Thuja/Juniperus,Quercus,Castanea,Carya,Juglans cinera t.,Fagus,Betula,Ostrya/Carpinus,Ulmus,Fraxinus nigra t.,F. penn t.,Fraxinus sp.,Alnus viridis t.,A. incana,Acer rubrum,Acer saccharum/nigrum,Acer negundo t.,Acer sp.,Tilia americana,Nyssa,Liquidambar,Salix,Populus,Liriodendron type,Ericaceae,VItis,Myrica,Corylus,Corylaceae,Cornus stolon t.,Ilex,Platanus,Cephalanathus,Viburnum,Sambucus t.,Poaceae,Artemisia,Ambrosia t.,Rumex,Asteraceae,Plantago,Secale,Triticum t.,Cheno Am,Urticaceae,Thalictrum,Rosaceae ,Fabaceae,Liliaceae,Hypericum t.,Ranunculaceae,Cyperaceae,Pteridium t.,Dryopteris t.,Osmunda ,Trilete unk,"Lycopodium sp.,",Lycopodium lucidum t.,Juglans nigra,Apiaceae,Malvaceae,cf. Osmanthus,Rhus,Upland sum,Isoetes,Equisetum,Sphagnum,Sellaginella,Lycopod-cor/SA,Typha,Myriophyllum,Nuphar,Nymphaea,Brasenia,Potamogeton,Pontederia t.,Sparganium t.,Utricularia,Hippuris t.,Sagittaria,cf.Hippuris,Tsuga stom t.,Cupressaceae stomata,Pinus stomate t.,Picea mariana t stom,PreQuaternary,Degraded,Corroded,Broken,Crumpled,Hidden,Unknown,Exotic count,Exotic spike
1,-58.386,,21,1,1,,,10,1,1,2,,,,,2,37,1,14,1,1,51,4,,,3,1,8,,1,,,2,,,,,,,,,4,1,1,,,1,,,,3,1,6,,1,,,2,1,1,,,,,,1,5,,3,,,,,,,,,,194,,1,,,1,,,,,,1,,,,,,,,,,,1,10,,1,1,9,1,214,83393
24,67.756,,33,1,,,2,21,,1,1,,,1,,4,54,1,7,3,4,42,4,,,1,,9,,1,1,1,4,,,,2,,,1,1,7,,,,1,,,,,42,1,41,20,4,1,2,1,1,,,,1,,,1,6,1,4,6,1,1,,,,,,,342,1,2,,,1,,,1,,,,,,,,,,,,,,,22,4,,,6,3,224,83393
48,199.381,,20,,1,,7,32,,,,,,1,,3,92,10,17,7,21,45,8,4,,,2,13,,2,1,,1,,,,,5,,,,4,2,,,,,2,,,1,,1,2,,,,,,2,3,,1,,,,6,1,9,1,1,,,,,,,,328,,,,,3,,,,,1,,,,,,,,,,,,,15,2,,,6,3,106,83393
60,346.33,,24,,2,1,7,33,,,,,,1,,5,131,7,23,5,28,47,4,6,,4,1,15,1,1,,,1,1,,,,2,,,,8,,,,3,,1,,,4,,1,,,,,,,,,,,,,,3,2,8,,1,,,,,,,,381,,,,,4,,,,,,,,,,,,,,1,,,,17,,2,1,5,3,128,83393
72,512.39,,16,,1,3,9,27,1,,2,,,,,3,81,8,14,5,22,44,12,6,2,7,,25,,10,,,,1,,,,,,,,4,1,,,,,,,,4,,2,,2,,,,,,2,,,,,,4,3,8,,,,,,,,,,329,,,,,,,,,,,,1,,,,,,,,,,,11,2,,1,1,2,107,83393
96,844.51,,17,,,3,7,47,,,,1,,,,7,110,6,21,4,26,53,8,6,,,2,13,,1,1,,2,,,,,3,,,2,1,,,1,,,,,,1,,,2,,,,,1,,,,,,,,10,5,7,3,,,2,,,,,,373,,,,,2,,,1,,,,,,,,,,,,,,,10,4,,4,6,,85,83393
120,1176.63,,23,1,,,6,30,,,2,1,,,,3,77,13,16,1,27,64,7,2,4,6,4,24,,6,,,1,,,,,1,,,,1,,,,,,,,,4,2,1,1,,,,,,,3,,,1,,,7,3,6,,,,,,,,,,348,,,,,,,,1,,,,,,,,,,,,,,,8,3,,,2,1,93,83393
144,1508.75,,18,1,,,4,26,,,,3,,1,,2,130,12,22,5,17,44,4,7,1,5,2,15,,4,,,,,1,,,,,,1,,,,,1,,,,,,,,,2,,,,,,,,,,,,9,1,3,2,,,,,,,,,343,1,,,,2,,,,,,,,,,,,,,,,,,5,4,1,2,4,,80,83393
168,1752.338,,19,2,,,3,32,,1,,1,1,,,4,109,14,7,4,17,58,2,2,1,5,1,14,,6,,,,2,1,,,,,,,1,,,,,1,,,,3,,,,2,,,,,,1,,,,,,5,3,3,2,1,,,,,,,,328,,,,,2,,,,,,,,1,,,,,,2,,,,1,1,,1,,7,67,83393
192,1969.192,,23,,,2,3,33,,,,,,,,2,106,7,26,2,33,47,5,11,,2,,12,,4,,,1,2,,1,,1,1,,1,2,1,,,1,,2,,,,,,,1,,,,,,,,,1,,,3,6,7,5,1,,,,,,,,355,,,,,2,,,1,,,,,,,,,,,,,,,12,1,3,,4,4,88,83393
216,2183.788,,19,1,2,,1,33,,,,1,,1,,7,79,17,22,1,22,46,6,1,1,4,1,18,,5,,,,,,,1,1,4,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,1,6,,5,,,,,,,,,,310,,,,,,,,1,,,1,,,,,,,,1,,,,8,5,,,4,2,67,83393
240,2397.327,,26,6,,,13,41,,,,1,,1,,4,98,8,18,1,38,43,8,2,1,7,3,29,,7,2,,2,1,,,,,2,2,,2,,,,,,,1,,1,1,,,,,,,,,,,,,,,6,3,7,,,,,,,,,,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83393
264,2610.899,,27,,1,1,3,26,,1,1,,,,,5,88,5,21,4,37,39,4,7,2,4,2,10,,2,,,1,,1,,,2,1,,,1,,,,,1,,,,1,,1,,1,,,,,,1,,,,,,3,1,3,2,1,,2,,,,,,313,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,4,2,94,83393
288,2824.405,,15,1,,,6,27,,,1,1,1,1,,,85,7,22,1,49,42,7,5,2,9,,27,,3,,,,2,1,,1,1,1,,,,,1,,,,,,,1,,1,,,,,,,,,,,,,,5,1,4,1,,,,,,,,,332,,1,,,,,,1,,,1,,,,,,,,,,,,8,,2,1,6,1,83,83393
312,3037.944,,30,,,,6,13,,,,1,,1,,,74,6,20,2,58,42,3,6,,5,1,27,1,6,1,,2,1,,,,,1,,1,1,,,,,,,,,2,,,1,1,,,,,,1,,,,,,7,,5,1,1,1,,,,,,,329,1,4,,,,,,,,,,,,,,,,,,,,,14,1,1,,6,,104,83393
336,3251.483,,26,1,1,,4,16,,1,,,,,,7,116,1,18,,30,26,10,5,,5,1,18,,6,,,,1,,,1,,2,,1,1,3,,,1,,,,,,,,,2,,,,,,2,,,,,,5,2,2,1,,,,,,,,,316,,7,,,,,,,,1,1,,1,,1,,,,,,,,11,2,,4,6,5,85,83393
360,3465.022,,13,,1,,10,9,,,,,,,,3,99,4,10,1,50,34,7,5,,5,3,16,,1,1,,2,1,,,,3,3,,,1,1,,,,,3,,,,,1,,,,,,,,,,,,,,9,5,3,5,,,,,,,,,309,2,,,1,19,,,,1,,,3,,,,,,,,,,,2,9,1,11,7,4,87,83393
384,3678.974,,23,2,,,2,19,,1,,1,,,,,200,1,29,3,56,24,16,10,3,3,1,25,,4,,,4,1,,1,,,,,,1,,,,,,,1,,3,,,,,,,,,,,,,,,,5,,1,,,1,,,,,,,441,,,,,,,,1,,,,,,,,,,,,,,,18,1,2,2,8,2,97,83393
408,3868.945,,17,,,,5,4,,,,,,1,,4,151,2,12,3,17,23,7,12,3,9,2,21,,3,,,3,1,,,,1,3,,,2,2,1,,,2,2,,,1,,,,,,,,1,,1,1,,,,,6,2,1,,,,,,,,,,326,,2,,,,,,,,,,,,,,1,,,,,,,12,1,,2,7,4,110,83393
432,4040.618,,19,,,1,1,4,,,,,,,,2,143,1,23,3,11,26,11,8,1,5,,25,,6,2,,,1,1,,,,,,,1,,1,,1,1,,,,1,,,,1,2,,,,,1,,,,,,7,1,3,2,1,,,,,,,,317,,,,,,,,,,,1,,,,,,,1,,,,,19,,,,5,4,85,83393
456,4206.999,,25,,,,2,6,,,,1,,,,3,115,2,25,2,31,31,6,7,,2,1,17,,1,3,,2,2,,,1,1,,,1,,6,,,1,1,1,,,1,,,,1,,,,,,1,,,,,,6,3,6,2,,,,,,,,,316,,,,,,,,1,,1,2,,1,,,,,,,,,,31,6,2,6,9,7,113,83393
480,4374.776,,23,1,,,1,6,,,1,1,,,,2,111,1,30,1,40,29,3,10,2,4,3,27,1,2,,,,,,,,,1,,,2,,1,,1,1,,,,2,,,1,1,,,,,1,,,,,,,4,1,,5,,,,,,,,,320,,,,2,,,,,,,,,,,,,,,,,,,38,,5,1,12,3,121,83393
504,4550.334,,24,3,,,,14,,,1,,,,,3,108,2,17,2,29,31,8,11,,3,1,18,,3,2,,2,,,,,3,1,1,,,4,,,,,,1,,1,,1,,,,,,,,,,,,,,9,,2,1,,,1,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,16,4,,1,8,3,60,83393
528,4741.769,,15,,1,3,1,15,,,,,,1,,1,124,1,27,2,24,40,10,7,5,2,,15,,1,1,,1,1,,,,2,,,1,1,,,,,1,1,,,3,,1,,1,,,,,,1,,,,,,4,5,6,2,,1,,,,,,,328,,,,,,,,1,,,1,,,,,,,,,,,,11,17,3,3,16,3,47,83393
552,4939.336,,18,1,1,1,,12,,1,,,,1,,3,142,,25,15,21,30,4,5,4,5,1,9,,3,,,1,4,,1,1,2,3,,,,1,,,,1,1,,,1,,,,,,,,,1,,,,,1,,,4,2,1,3,,,,,,,,330,,,,,,,,,1,,,,,,,,,,1,,,,18,18,6,2,15,2,73,83393
576,5126.875,,17,1,,,5,21,,,,,,,,9,143,,20,5,38,30,5,6,3,7,3,8,,2,4,,3,1,,,,,,,1,2,,,,,1,,,,1,,,,,,,,,,,,,,,,1,2,5,,,,,,,,,,344,,,,,,,,,,,,,,,,,,,,,,1,12,4,2,,8,,96,83393
600,5323.685,,10,,1,1,2,96,,,,,,,,1,88,,20,2,32,2,2,5,2,1,3,9,,,2,,,1,,,,,,,,3,,,1,,1,1,,,,,,,,,,,,,,,,,,,3,4,1,,,,,,,,,,294,,,,,,,,,2,,1,,,,,,,,,,,,5,11,1,,4,1,57,83393
612,5422.09,,15,3,,2,4,33,,,,,,1,,3,112,,23,5,35,26,8,13,,7,1,12,,3,1,,4,,,,,3,1,,,,,1,1,1,2,,,,2,2,,,,,,,,,,,,,,,3,5,2,,,,1,,,,,,335,,,,3,9,,,,,,,,,,,,,1,,,,,4,8,4,1,4,1,75,83393
624,5536.176,,13,1,,,2,55,,,,,,,,1,109,,22,2,30,34,6,11,,6,2,16,,,4,,,,,,,2,1,,,,,2,,1,1,1,,,1,,,,1,,,,,,,1,,,,,,3,2,3,1,2,,,,,,,336,,,,3,10,,,,2,,,,,,,,,,,,,,9,9,,1,7,4,61,83393
648,5834.911,,11,2,,,2,61,,,,,,,,,113,1,17,3,45,38,10,8,1,7,2,7,,4,1,,1,,,1,,,,,1,,1,,,,5,1,,,1,,1,1,,,,,1,,,,,,,,2,6,,,1,,,3,,,,,359,,,,1,15,,,,1,,1,,,,,,,,,,,,3,,7,2,6,5,57,83393
672,6133.646,,8,2,,,,67,,1,,,,,,6,105,,17,3,41,26,3,5,,,2,5,,3,,,3,,,,,,,,,,1,,,,5,,,,2,,,,,,,,,,1,,1,,,,2,4,3,1,,,,,,,,,317,1,,,1,8,,,,1,,,,,,,,,,,,,,6,9,,,8,1,41,83393
696,6431.414,,6,1,,,2,68,,,,,,,,2,103,2,9,7,51,36,7,6,,5,3,16,,2,1,,,1,1,,,,,,,,1,,,1,4,,,,1,1,,1,1,,,,,,,,,,,,5,4,2,1,,,,,,,,,351,,,,1,16,,,2,1,,,,,,1,,1,,1,,,,5,13,2,,4,5,45,83393
720,6726.123,,12,3,1,,2,76,,,,,,,,,86,,19,3,40,22,6,5,,5,,9,,2,1,,3,1,,1,,,,,,1,,,,,1,,1,,1,,,1,1,,,,,,,,,,,,,4,4,3,,,,,,,,,314,,,,1,16,,,1,1,,,,,,,,,1,,,,,1,10,,1,5,3,51,83393
744,7020.833,,8,,1,1,,135,,,,,,,,1,58,,10,3,60,37,3,6,,9,,10,,2,4,,2,1,,1,,,,,,1,,,,,3,,,,1,,,,,,,,1,,,,,,,,,3,3,1,,7,,,,,,,372,1,,,,,,,,,,,,,,,,,2,,,,1,3,13,1,,3,3,35,83393
768,7315.542,,11,2,,,6,125,,,,,,,,1,53,,7,2,36,33,8,2,,7,3,4,,1,4,,1,1,,,,,,,,,,,,1,4,,,,2,,,,,,,,,1,,,,,,,2,1,1,,,,,,,,,,319,,,,,9,,,,1,,,,,,,,,2,,,,,2,5,4,,2,2,26,83393
792,7610.251,,18,,,,1,90,,,,,,,,2,56,1,6,1,46,43,3,5,,5,2,9,,1,2,,2,,1,,,,,,,3,1,,,,4,,,,,1,,,,,,,,,1,,,,,,2,,2,1,,,,2,,,,,311,,2,,,6,,,,,,,,,,,,,3,,,,,5,,,,4,3,19,83393
816,7904.961,,18,1,,,,104,,,,,,,,2,65,,2,,62,26,6,9,,2,2,4,,1,1,,5,,,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,2,,4,,,,,,,,,,320,,,,,15,,,1,,,2,,,,,,,,1,,,,6,4,2,1,11,2,31,83393
840,8291.663,,17,,1,,3,89,,,,,1,,,,97,,4,,31,30,8,,,5,1,10,,6,1,,,5,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,314,,,,,7,,,,,,,,,,,,,,,,,,3,3,,,6,,27,83393
864,8803.362,,28,,,,3,69,,,,1,,,,,96,,2,1,38,37,8,2,,2,,5,,1,2,,3,2,1,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,1,,,,,2,2,6,,,9,,,,,,,325,,,,,,,,1,,,,,,,,,,,,,,,,5,3,,4,5,51,83393
888,9315.062,,33,,1,2,10,70,,1,,1,,,,1,118,,1,,43,17,15,4,2,3,2,3,,3,,,,,3,,,,,,,,,,,,,1,,,,,2,,,,,,1,3,,,,,,,,,4,,,1,,,,1,,,346,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,6,3,32,83393
916,9648.636,,68,1,,,19,71,1,1,,,,1,,2,114,,,,22,22,10,5,,2,1,2,,,3,,2,1,,,1,1,,1,,,2,,,,,,,,1,1,1,,,1,,,2,,,,,,,,,4,1,,,8,,,,,1,,373,,2,,,,,,,,,1,,,,,,,,,,,,2,1,,2,5,2,39,83393
936,9873.308,,93,3,1,,35,54,1,1,2,2,,,1,1,81,,,1,28,7,8,11,,3,1,6,,1,1,,1,1,1,,1,3,,,,,1,,,,2,,,,1,,1,,1,,,,,,,1,,,,,2,4,4,,,,,,,,,1,367,,,,,14,,,,,,,,,,,,,,,,,,5,2,3,2,3,5,40,83393
960,10142.91,,99,1,4,,26,24,3,2,,1,,2,,1,91,,,,0,17,12,7,1,3,1,3,,,1,,,1,,,2,1,,,,1,,,,,1,,,,2,,1,,,,,,,1,,,,,,,1,3,,,,7,,,,,,,320,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,26,83393
984,10532.63,,111,,3,,67,60,,1,,,1,,,,39,,,,,9,7,4,1,4,,1,,4,,,1,,,,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,2,1,,3,,,,,,,323,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,2,2,22,83393
1008,11014.02,,169,2,,,51,11,,1,1,,1,1,,2,89,,,1,2,10,14,6,1,2,1,3,,1,7,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,5,,,,,,,386,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,2,2,24,83393
1020,11258.9,,195,2,,,24,9,,,1,,4,3,,4,58,,2,,,23,2,4,2,1,3,3,,4,2,,2,,,,1,,,1,,1,,,,,,,1,,4,,,,,,,,,,,,,,,,,2,2,1,,2,,,,,,,363,,,1,,,,,,,,,,,,,,,,,,,,4,4,10,,1,5,21,83393
1030,12149.84,,104,9,,,13,11,3,7,19,13,17,7,14,2,23,,,,,56,4,3,2,2,,21,,,2,,1,,,,2,3,,1,,1,5,,,,,,,,1,,,,1,,,,,,1,1,,,,,2,10,3,1,2,2,,,,,,,369,,3,,,,,,,,,,,,,,,,,,1,,,,11,2,1,3,2,48,83393
1044,13397.17,,61,19,,,2,,34,6,30,21,22,11,1,6,22,,1,,2,19,7,1,3,3,1,4,,,,,,,,,,1,,1,,1,,1,,,,,,,2,1,,,3,,,,,3,,1,,,,,9,5,,,,1,2,,,,,,307,,2,,1,,,1,,,,,,,,,,,,,,1,,1,1,1,2,4,,40,83393
