Age (cal BP-prelim),Depth,Cupressaceae,Picea,Abies,Larix,Pinus undifferentiated,Pinus haploxylon,Pinus diploxylon,Tsuga,Taxus,Populus,Salix,Betula,Betula - small,Betuloid,Ostrya-Carpinus,Fraxinus nigra,Fraxinus penn/am,Fraxinus,Quercus,Ulmus,Acer saccharum,Acer rubrum,Acer ,Tilia,Juglans nigra,Juglans cinerea,Carya,  Platanus,Celtis,Fagus,Castanea,Nyssa,Liquidambar,Morus,Ilex,Alnus rugosa,Alnus crispa,Alnus,Corylus,Myrica-Comptonia,Rhamnus-Vitis, Ericaceae,Viburnum,Hammamelis,Cornus,Cephalanthus,Clethra,Other shrubs,Poaceae,Zea, Artemisia,  Ambrosia,Urtica spp,Tubuliflorae,Liguliflorae,Chenopodiaceae,Polygonum bist.,Polygonaceae,Rumex,Plantago,Rosaceae,Cyperaceae,Sambucus,Humulus,Caryophyllaceae,Ranunculaceae,Apiaceae,Galium,Fabaceae,Thalictrum,Iva,Other herbs,Dennstaeditia, Pteridium,Botrychium,Lyc. lucidulum,Lyc. annotinum,Lyc. clavatum,Lycopodium undifferentiated,Osmunda,Woodsia,Monolete spore,Trilete spore,Eriocaulon,Myriophyllum,Sphagnum,Typha,Nuphar,Nymphaea,Isoetes,Potamogeton,Brassenia,Saggitaria,Indet. crumpled,Indet. Broken,Indet. Coroded,Indet. Obscured,Unknown,Exotic (pollen),Charcoal count,Exotic (charcoal),Tree pollen,Shrub pollen,Herb pollen,Sum Pterid,Upland pollen sum,Sum Aquati,Sum Indete,Total Pollen,Alnus Total,Pinus Total,tree&shrub
0,0,2,6,,,50,45,4,39,,,,92,,4,3,3,,,61,5,3,3,,1,,,8,2,,15,2,,,,3,4,,,,7,,,,,,,,,17,1,,10,,,,,,,3,,1,,,,,,,1,,,,1,2,,,1,,,4,1,,5,,,,2,,,,,,,,5,,,15,1,948,,,348,14,34,13,409,2,21,432,4,99,362
12.5,4,9,6,1,1,59,40,12,50,,6,,133,,2,,3,6,,96,5,4,3,,,,4,4,3,1,36,3,,,,2,1,,1,,14,,5,,,,,,,11,,,19,,1,,,,,6,,,1,,,,,,,,,,,1,2,,,,,,5,,1,1,,,2,,,1,,,,,9,,1,12,4,803,,,487,23,38,10,558,3,26,587,2,111,510
25,8,1,14,,4,57,40,9,41,,,,142,,15,2,3,3,3,72,3,5,8,,,1,1,7,,,33,2,,,2,9,2,,2,,7,,3,,,,,2,,24,,,18,,,,1,,,7,,,1,,,,,,,,,1,,,5,,,,,3,2,,5,2,,1,5,,,3,1,,,,4,,8,28,8,1054,,,468,25,52,17,562,10,48,620,4,106,493
37.5,12,8,15,,1,61,32,13,51,,2,1,132,,3,3,4,9,,68,3,10,10,,1,,2,7,1,,35,12,,1,,4,3,,5,2,15,,1,,,,,1,,13,,,11,,1,,,,,6,,1,4,,,,,,,,,,,1,1,,1,,,1,,,4,1,,,,,,1,,,1,,3,3,3,4,7,838,,,485,31,36,9,561,2,20,583,8,106,516
50,16,7,17,1,2,41,38,10,42,,3,,129,,11,3,2,9,2,80,2,6,11,1,,,,2,1,,37,10,,,,2,6,,2,,13,,,,,,,,,18,,1,21,,3,,,,,7,2,,1,,,,,,,,,1,,2,4,,,,,1,2,,3,1,,,7,,,1,,,4,,6,1,4,34,1,540,,,467,23,54,13,557,12,46,615,8,89,490
75,24,4,12,1,2,45,41,15,47,,,2,155,,13,3,4,2,,57,7,10,4,,,,3,,,,44,8,,,,3,3,,4,3,13,1,3,,,,,,,31,,,28,,,,,,,14,,1,3,,,,,1,,,,,,4,6,,,,3,1,,,,,,,5,,,2,,,,,7,2,4,13,3,589,,,479,30,78,14,601,7,29,637,7,101,509
100,32,2,18,2,2,48,46,10,68,,4,1,113,,14,2,1,6,2,60,6,7,5,,,,1,6,1,,36,11,2,,,2,5,,4,1,15,,1,,,,,,,30,1,1,29,,2,,,1,,10,1,2,,,,,,1,,1,,,,,4,,,,,1,2,,10,1,,,3,,3,1,,,,,7,2,5,36,4,785,,,474,28,79,18,599,7,54,660,9,104,502
125,40,6,17,1,4,48,26,16,69,,2,,139,,6,3,2,4,1,65,2,5,3,,2,,,5,2,,53,12,,,,2,2,2,2,1,12,1,6,,,,,,,27,,,22,,4,,,2,,12,1,,5,,,,,,,,1,,,,10,,1,,,2,4,,7,,,,6,1,3,1,,,,,3,2,3,28,4,522,,,493,28,74,24,619,11,40,670,6,90,521
137.5,44,5,16,1,3,56,33,8,58,,4,,123,,12,4,5,5,2,75,4,7,2,,,,3,3,5,,44,18,1,,,,6,1,1,,16,,4,,,,,2,,32,,1,18,,1,,,,,11,,,1,,,,,,,,,1,,2,5,,,,,2,5,,7,1,,,4,,,1,,,,,7,4,8,30,4,615,,,497,30,65,22,614,5,53,672,8,97,527
150,48,2,21,3,,61,45,15,75,,1,1,84,,12,1,6,1,1,66,6,8,,,,,2,3,2,,54,9,,,,3,2,,1,1,11,,3,,,,,2,,27,,,9,,3,,,,,19,1,,2,,,,,,,,,,1,2,10,,1,,,,5,,5,2,,,11,,1,,,,,,7,,4,13,5,464,,,479,23,62,25,589,12,29,630,3,121,502
175,56,5,11,1,3,48,44,16,71,,2,2,106,,8,4,4,4,,75,3,14,4,,,,,3,,,53,14,,,,3,7,1,2,1,11,,1,,,,,1,,27,,,11,,,,,,,15,,,2,,,,,,,,1,,1,,10,,,,,1,1,,4,,,,,,2,2,,,1,,9,2,3,15,8,383,,,495,27,57,16,595,5,37,637,10,108,522
200,64,2,22,2,,38,47,30,81,,4,1,100,,6,3,3,1,,86,3,6,6,1,,,,7,2,,39,8,1,,,1,5,,,,7,,4,,,,,3,,12,,1,7,,1,,1,,,10,,,3,,,,,,,,,,,1,13,,,,,,2,,4,1,,,3,,2,1,,,,,2,,2,9,4,227,,,499,20,35,21,575,6,17,598,5,115,519
225,72,3,19,,1,50,42,14,73,,3,,113,,3,2,3,3,,70,6,5,6,1,,,,5,3,,47,15,,,1,,8,,1,,12,,2,,,,,,,17,,1,7,,,,,,,11,,,2,,,,,,,,,,1,,7,,,,1,,2,,3,1,,,3,,,1,,,,,5,1,3,10,7,337,,,488,23,39,14,564,4,26,594,9,106,511
237.5,76,1,17,1,2,47,43,15,72,,1,,115,,4,1,4,5,2,79,2,3,6,,,,1,5,,,41,20,1,,,,7,,,2,6,,,,,,,,,8,,,1,,,,,,,9,,,2,,,,,,,,,,,1,10,,,,,,1,,,,,,3,,,1,,,,,3,4,4,14,1,356,,,488,15,20,12,535,4,26,565,7,105,503
250,80,,16,,,39,39,11,80,,3,,109,,3,1,3,6,,100,8,11,4,,1,,,2,4,,53,17,,,,,4,,,,7,,,,,,,,,5,,,2,,1,,,,,1,,,2,,,,,,,,,,,1,3,,,,,,1,,3,1,,,3,,1,1,,,,,2,1,2,8,5,341,,,510,11,11,9,541,5,18,564,4,89,521
413.556,88,1,13,,2,39,22,25,86,,3,,126,,2,5,2,,,70,6,9,5,,,,,5,4,,58,6,,,,1,3,2,,,5,,3,,,,,,,,,,1,,,,,1,,1,,,1,,,,,,,,,,,,11,,,,,,3,,2,,,,4,,2,2,,,3,,2,,1,13,2,368,,,489,14,4,16,523,11,18,552,5,86,503
577.052,96,3,18,,,16,17,11,113,,1,,134,,1,1,2,5,,62,5,10,3,,1,,1,9,2,,86,5,,,1,1,1,,,,,1,,,,,,,,1,,,2,,,,1,,,,,,3,,,,,,,,,,,,7,,,,,1,,,,,,,1,1,,,,,,,2,,2,6,3,312,,,507,3,7,8,525,2,13,540,1,44,510
740.548,104,5,9,2,2,20,6,6,106,,,1,124,,8,6,2,3,2,51,5,8,3,,,,,5,1,,106,6,1,,,,,1,5,,3,,1,,,,,,,1,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,2,,,,,,6,,,2,,,,,4,4,8,12,1,314,,,488,10,4,2,504,8,29,541,6,32,498
904.044,112,8,10,,,22,9,3,134,,1,,117,,1,1,2,4,3,59,6,5,1,,2,,1,6,1,,92,9,,,,,3,,,,3,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,1,,,,4,,1,,,,,,1,,,,5,,,3,,,1,,2,1,2,5,,309,,,497,7,4,6,514,9,10,533,3,34,504
1067.54,120,2,8,,,11,16,4,167,,1,,90,,3,4,2,3,,50,1,13,2,,2,,1,4,1,,118,1,2,,,,2,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,3,,1,,,,1,,1,,7,5,1,352,,,506,5,2,2,515,5,14,534,2,31,511
1231.036,128,4,5,1,1,22,23,5,109,,,,107,,4,1,4,4,2,52,4,9,5,,1,,,2,2,,119,4,,,,1,4,,,,6,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,2,,4,5,1,249,,,490,11,7,1,509,1,12,522,4,50,501
1394.532,136,1,2,,,22,23,6,157,,,,75,,3,1,3,6,2,73,5,11,1,,2,,1,5,,,93,3,,1,,1,1,,2,1,3,,,,,,,,,1,,,1,,,,,,,,,,3,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,3,,2,1,5,10,2,270,,,496,8,5,3,512,4,20,536,3,51,504
1558.028,144,7,5,,2,19,20,4,100,,2,,154,,3,5,3,,1,63,7,13,6,,,,1,3,,,93,3,,,,1,3,,1,1,1,,,,,,,1,,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,5,1,2,5,,167,,,514,8,4,0,526,1,13,540,4,43,522
1721.524,152,3,6,,,28,16,8,138,,,,89,,3,7,1,5,1,68,3,9,2,1,,,,4,2,,107,4,,1,,3,1,1,2,,2,,,,,,,,,1,,,,,,,,,,,,,3,,,,,,,,1,,1,,1,,,,,,1,,,,,,1,,,,,,1,,3,,1,12,,198,,,506,9,6,2,523,2,16,541,4,52,515
1885.02,160,4,6,1,1,33,16,4,120,,2,,85,,9,2,5,4,3,55,7,9,7,,1,,,5,2,,110,3,,,,,2,,5,,3,1,3,,,,,,,1,,,,,,,,,,,,,6,,,,,,,,,,,,2,,,,,,1,,1,,,,2,,1,3,,,1,,4,2,2,11,1,313,,,494,14,7,4,519,7,20,546,7,53,508
2048.516,168,,3,2,,38,20,5,115,,,,61,,3,4,7,2,4,76,2,14,1,,,,2,2,4,,121,3,,,,,3,,6,,4,1,,,,,,1,,,,1,2,,,,,,,,,,2,,,,,,,,,,,,4,,,,,,,,,,,,7,,,,,,3,,6,1,5,3,,272,,,489,15,5,4,513,10,15,538,9,63,504
2212.012,176,2,4,,,42,43,8,89,,,1,61,,5,3,4,6,2,65,4,6,5,,2,,,6,1,,129,4,,,,3,3,1,,1,4,,2,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,1,,,,2,,1,,,,1,,,,,,9,,1,,,,,,3,1,3,4,1,294,,,492,14,4,4,514,10,12,536,4,93,506
2375.508,184,3,3,,,58,37,8,99,,,,75,,3,5,4,8,2,75,9,9,3,1,,,2,7,1,,105,2,,,,2,6,,5,,2,,1,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,1,,2,,,,,,1,,,1,,,9,,,1,,,1,,3,2,3,11,1,271,,,519,16,4,4,543,11,20,574,11,103,535
2539.004,192,6,1,,,42,42,10,124,,,,46,,11,5,3,5,2,68,6,7,6,,,,,3,4,,103,2,,,,3,1,,3,2,2,,,,,,,,,,,1,1,,1,,1,,,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,1,1,,,,1,2,,16,2,215,,,496,11,5,2,514,3,21,538,4,94,507
,200,,3,1,1,39,24,3,100,,,,75,,5,4,2,9,2,70,5,11,3,,1,,3,6,2,,135,,,,,1,2,,1,,1,,4,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,1,,1,,,1,3,,1,3,,,2,,4,1,,14,,274,,,504,9,3,2,518,10,19,547,3,66,513
2865.996,208,3,1,1,,45,42,9,95,,1,,68,,3,9,2,2,1,76,2,9,5,,1,1,,7,2,,107,1,,,,1,4,,1,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,1,,,1,,3,4,,,,,2,4,2,6,6,150,,,493,9,2,3,507,8,20,535,5,96,502
3192.988,224,2,2,1,1,43,21,2,93,,3,,64,,3,7,2,7,1,135,3,5,2,,1,,,7,3,,84,1,,,,2,4,,3,1,2,,,,,,,,,,,1,1,,2,,,,,,,,3,,,,,,,,,,,,2,,,,,,2,,1,,,,5,1,,5,,,1,,4,4,3,12,5,245,,,493,12,7,5,517,12,28,557,7,66,505
3519.98,240,3,1,,,49,41,5,77,,,,68,,4,5,3,8,1,105,7,13,4,,,,1,4,2,,98,1,,1,,4,6,,,1,1,,3,,,,,,,1,,,,,,,1,,,,,,3,,,,,,,,,,1,,1,,,,,,,,,,,,1,,,2,,,2,,,1,5,19,2,222,,,501,15,6,1,523,5,27,555,6,95,516
,248,3,1,1,,62,24,8,67,,2,,61,,5,3,7,9,,136,4,7,1,1,1,,,5,,,83,4,,,,1,2,1,1,2,2,,,,,,,,,,,,2,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,1,,1,,,,2,,,2,,,1,,2,5,3,15,1,228,,,495,9,4,3,511,5,26,542,4,94,504
3846.972,256,6,2,2,,57,42,12,43,,4,,74,,6,8,2,12,1,104,6,12,4,,,,3,4,4,,79,,,,,,2,,,,7,,1,,,,,,,1,,,,,,,,,,,,1,3,,,,,,,,,,,,8,,,,,,,,1,,,,1,,1,3,,,,,2,4,6,19,,238,,,487,10,5,9,511,5,31,547,2,111,497
4010.468,264,4,2,,,61,34,11,36,,1,,56,,3,4,3,2,2,161,3,13,2,,1,,1,8,4,,77,1,,,,2,3,,9,,,,,,,,,,,,,,1,,1,,,,,,,,3,,,,,,,,1,,,,2,,,,,,1,,,,,,1,1,,1,,,7,,1,3,8,21,4,161,,,490,14,6,3,513,10,37,560,12,106,504
4173.964,272,3,2,1,,36,39,6,23,,,,69,,4,9,6,6,1,141,5,13,8,,,,2,7,2,,100,1,,,,,5,,5,,7,,,,,,,,,2,,2,1,,1,,,,,,,,3,,,,,,,,,,,,2,,1,,,,1,,1,,,,2,,1,4,,,3,,2,,2,11,1,244,,,484,17,9,5,515,10,16,541,10,81,501
4337.46,280,1,4,1,,70,35,5,35,,,,50,,3,9,7,4,3,125,6,11,,,,,1,21,3,,101,,,,,1,1,,2,,1,,3,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,3,,,,,,4,,1,,,,1,,1,3,,,3,,2,2,,30,2,146,,,495,8,5,8,516,8,36,560,3,110,503
4500.956,288,3,3,,,46,37,10,22,,3,,59,,2,6,3,8,4,145,6,13,4,,1,,,8,7,,103,2,1,,,,4,,4,,2,,1,,,,1,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,2,,,,,,,4,,,4,,1,2,1,16,1,196,,,496,12,3,4,515,8,21,544,8,93,508
4664.452,296,1,,,,55,27,20,15,,2,,74,,1,1,10,13,3,163,5,11,7,,,,2,2,1,,66,,,,,1,4,1,6,1,7,,4,,,,2,,,1,,,,,,,,,,,,,1,,,,,,,,1,,,,4,,,,2,,1,,,,,,4,,,5,,,2,,,3,2,6,4,188,,,479,26,3,7,515,11,15,541,11,102,505
